Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Data Analyst,Global Pharma Tek,Not disclosed,Bengaluru,Bachelor s or . Master s Degree . Ability to self-process the data and come out with in...,30+ Days Ago,data science,Focus,Consulting,IT infrastructure,Programming,Data Analyst,Data analytics,Weaving
Data Analyst,Global Pharma Tek,Not disclosed,Bengaluru,Bachelor s or . Master s Degree . Ability to self-process the data and come out with in...,30+ Days Ago,data science,Focus,Consulting,IT infrastructure,Programming,Data Analyst,Data analytics,Weaving
Data Analyst,Response Informatics,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Response Informatics is looking for Data Analyst to join our dynamic team and embark on...,30+ Days Ago,Microstrategy,RDBMS,Data analytics,Data Analyst,data visualization,SQL,Analytics,Data
Data Analyst,Cafu,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Adhoc data analytics / quantitative support where and when required . Experience on Exc...,30+ Days Ago,Computer science,Excel,Analytical,Data analytics,Data Analyst,Business intelligence,Powerpoint,Predictive analytics
Data Analyst,Diverse Lynx,Not disclosed,Bengaluru,"Managing master data, including creation, updates, and deletion. Managing users and...",30+ Days Ago,Data analysis,Statistical analysis,SAS,Data Analyst,Data analytics,Regression analysis,Data mining,Python
Data Analyst,Xpheno,Not disclosed,Bengaluru,Bachelor s degree with 5+ years of experience or Master s degree with 2+ years experien...,30+ Days Ago,Automation,data science,Life sciences,Data analytics,microsoft,Oracle,Operations,Bioinformatics
Data Analyst,Infobahn Softworld,Not disclosed,Bengaluru,Strong experience in working on mobile / web analytics tools - Adobe Analytics preferre...,30+ Days Ago,Post production,adobe analytics,C,Web analytics,Debugging,Javascript,Data collection,Data analytics
Data Analyst,Infobahn Softworld,Not disclosed,Bengaluru,Strong experience in working on mobile / web analytics tools - Adobe Analytics preferre...,30+ Days Ago,Post production,adobe analytics,Web analytics,Debugging,Javascript,Data analytics,SQL,Analytics
Corporate Auditor- Data Analyst,Lider Consultancy Services (p) Ltd,Not disclosed,Bengaluru,"Proven ability to work independently, with limited required direction and guidance, and...",17 Days Ago,PowerBI,SOX 404 Compliance,Data Analytics,Auditing,Python,CPA,CIA,ACCA
Data Automation Analyst - ETL/Python,Simplotel Technologies,Not disclosed,Bengaluru,"Job Overview :As a Data Automation Analyst, you will work closely with stakeholders to ...",19 Days Ago,ETL,Data Integrity,Data Pipeline,RDBMS,Statistical Modeling,Data Mining,Data Analyst,Data Warehousing
Data Analyst,Agilite Global Solutions,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience and desire to work in a global delivery model from a permanent work from hom...,30+ Days Ago,Health insurance,Claims,Provident fund,Pharma,Analytical,Machine learning,Agile,Life sciences
Data Analyst,Novel Office,2.5-3 Lacs PA,Bengaluru,Only Male Candidates Shift timings (1pm - 9pm) Qualifications: . Bachelors / Undergradu...,26 Days Ago,Communication Skills,Excel,Analytical Skills,Data Interpretation,Problem Solving,Data Analysis,Data Collection,Reporting
Data Analyst,Augie,Not disclosed,Bengaluru,Responsible for co-ordinating data with other teams with proper understanding of the da...,30+ Days Ago,Market analysis,Usage,Excel,Data collection,Database,Data Analyst,data visualization,Troubleshooting
Data Analyst,Bottle Lab Technologies,Not disclosed,Bengaluru,We are seeking an experienced Data Analyst with a strong background in visualization...,30+ Days Ago,Computer science,Data analysis,Data management,Trend analysis,Market research,Data quality,Data mining,Forecasting
Data Analyst,Digital Glyde,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in a quantitative field (e.g., Statistics, Mathematics, Economics) or...",30+ Days Ago,Data analysis,Excel,Statistical analysis,Analytical,power bi,data integrity,Data Analyst,data visualization
Data Analyst,Norstella,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience and desire to work in a global delivery model from a permanent work from hom...,30+ Days Ago,Health insurance,Claims,Provident fund,Pharma,Analytical,Machine learning,Agile,Life sciences
Data Analyst,Bombay Play,Not disclosed,Bengaluru,"Flexible timing and work from home daysKnowledge of applied mathematics, statistical me...",30+ Days Ago,C++,Analytical,Machine learning,Javascript,Data Analyst,Open source,Statistics,Analytics
Data Analyst (Excel),Rocket Careers,2-3 Lacs PA,Remote,"Role & responsibilities Rotational training, data support, learn company data analysis,...",30+ Days Ago,eager to learn,bachelors,adaptable,Data analysis,Adaptability,Data,Excel,
Data Analyst,MM STAFFING CAREER CONSULTANTS PRIVATE LIMITED,Not disclosed,Bengaluru,"Education requirement: . Masters Degree in Statistics, Analytics, Marketing, Economics,...",30+ Days Ago,Microstrategy,Data analysis,SAS,Analytical,Data Analyst,Business intelligence,Analytics,Reporting tools
IAM Data scientist/ Data Analyst,Treyas Infotech And Consulting,Not disclosed,Bengaluru,- knowledge of Splunk- Able to automate data flow from Splunk to DB (Aware on the APis)...,19 Days Ago,Django,Splunk,Python,Aware,APis,Web Framework,Framework,Web technologies
Data Analyst,Capco,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Experience : Proven experience in developing and deploying AI / ML models in a business...,17 Days Ago,Computer science,Analytical skills,Data analysis,data science,Analytical,Management consulting,Programming,model development
Data Analyst,Infosys,Not disclosed,Bengaluru,Experience with data visualization tools such as Grafana and Looker. Ability to work in...,21 Days Ago,python,data validation,sql,pipeline design,machine learning algorithms,data analysis,data mining,pyspark
Data Analyst,Genpact,3.5-4.75 Lacs PA,"Gurugram, Bengaluru","Bachelor s degree in data science, Statistics, Computer Science, or a related fieldFurt...",30 Days Ago,Excel,Power Bi,Advanced Excel,Install Base,Installation,Data,Base,Bi
Data Analyst -M&T,Accolite Software India Pvt Ltd,Not disclosed,Bengaluru,Must Have Skills: . 5+ years experience in Data / Insight Analyst role with proven abil...,30+ Days Ago,tableau,NoSQL,Senior Analyst,Analytical,power bi,Data Analyst,MATLAB,AWS
Data Analyst,Tech Mahindra,Not disclosed,Bengaluru,"To design, develop and implement software applications and systems based on users n...",30+ Days Ago,Usage,Matrix,Production support,Test scripts,Data Analyst,Application software,Application,Production
Data Analyst,Siemens,Not disclosed,Bengaluru,". Education: bachelors or masters degree in Data Science, Statistics, Computer Science,...",30+ Days Ago,Data analysis,SAS,Data modeling,Business analytics,Business process management,Business intelligence,Analytics,SQL
Data Analyst,Siemens,Not disclosed,Bengaluru,. Identify and resolve data quality issues in a timely manner. Youd describe yourself a...,30+ Days Ago,Business services,Excel,Data modeling,Analytical,Trend analysis,Data quality,Business process management,Forecasting
Data Analyst,Capco,Not disclosed,"Mumbai, Hyderabad, Pune, Chennai, Gurugram, Bengaluru","Extending and maintaining the Business Information Model (HBIM) based on business, in...",30+ Days Ago,Business process,Operational risk,Data management,Compliance,UML,Process improvement,Management consulting,data governance
Data Analyst III,Zoom Info,Not disclosed,Bengaluru,A Problem Solver - You have strong problem solving and troubleshooting skills with the ...,30+ Days Ago,Product management,Quantitative research,Machine learning,Data processing,Data Analyst,Data quality,Troubleshooting,SQL
SCM Data Analyst - Railway Infrastructure,Siemens,Not disclosed,Bengaluru,"Bachelor s degree in engineering, preferably inelectrical / electronic / mechanical eng...",30+ Days Ago,Procurement,Supply chain,Project management,Analytical,Management consulting,Corporate finance,SCM,Forecasting
Data Analyst,Novo Nordisk,Not disclosed,Bengaluru,"Develop, monitor, and maintain data quality metrics, reports, and dashboards for master...",30+ Days Ago,Procurement,Data analysis,International operations,Financial planning,Healthcare,Data quality,healthcare analytics,Continuous improvement
Data Analyst,Accolite Software India Pvt Ltd,Not disclosed,Bengaluru,"Experience with Data Modeling and Data Warehousing, strong data analysis and modeling s...",30+ Days Ago,Unix,Performance tuning,Application support,Business objects,Data modeling,PLSQL,Informatica,Troubleshooting
Data Scientist / Data Analyst - Contract,Leading Client,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru",4+ years of experience as a Python-focused Engineer. 2+ years of experience with any Py...,15 Days Ago,Python,DS,Data Science,Data Analysis,Web Development,Contracts,Web technologies,Analysis
Data Scientist / Data Analyst,Leading Client,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru",We are actively seeking talented Data Scientists & Analysts proficient in Python to joi...,18 Days Ago,AI,Python,ML,Data Science,Data Analysis,Artificial Intelligence,Data,Science
Data Analyst III,Leading Client,Not disclosed,Hybrid - Bengaluru,"The Operations Data Analyst is responsible for analyzing large sets of complex data, de...",11 Days Ago,Data Analysis,data quality,dashboard development,predictive analytics,power bi,data integrity,data visualization,dashboards
Data Analyst,Axa Technology Services,Not disclosed,Bengaluru,"Scientist (Data Solutions Analyst) - Data Sourcing Solutions Bangalore, Kar...",15 Days Ago,Claims,Data management,Underwriting,Relationship building,Agile,Data quality,Business strategy,Analytics
Data Analyst,Photon,Not disclosed,"Chennai, Bengaluru",". Bachelors degree in data science, statistics, computer science, mathematics, or relat...",30+ Days Ago,data cleansing,Data analysis,SAS,Data management,Analytical,Predictive modeling,Data quality,microsoft
Data Exposure Analyst,Corelogic,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","At CoreLogic, we are driven by a single missionto make the property industry faster, sm...",20 Days Ago,insurance,data analytics,data analysis,modeling,vba,data processing,property,sql
Data Analyst,AXA Global Business Services,Not disclosed,Bengaluru,". A minimum of a bachelor s or master s degree (preferred) in Computer Sciences, Engine...",15 Days Ago,Claims,Data management,data security,Underwriting,Relationship building,Agile,Data quality,Business strategy
EDA Data Analyst,NXP Semiconductors,Not disclosed,Bengaluru,"Masters or Bachelors degree in engineering - computer science , electronics or equiva...",30+ Days Ago,Automation,Data analysis,Linux,Agile,Application development,Scrum,Troubleshooting,Technical support
Data Analyst,SOBHA,Not disclosed,Bengaluru(Devarabeesana Halli),Incumbent should have thorough knowledge of sales force appShould carry excellent opera...,21 Days Ago,Data Analysis,Advanced Excel,Powerpoint,Problem Solving,Data Mining,Data Extraction,Analysis,Data
Data Analyst,Matrix Business Services,Not disclosed,Bengaluru,Required Skills: . Proven working experience as a Data Analyst or Business Data Analyst,29 Days Ago,Analytical skills,Database architecture,Excel,VBA,Business Data Analyst,Report writing,query,Macros
Data Analyst,Myntra,Not disclosed,Bengaluru,Engineering Degree from an accredited university or college. - Work experience as a dat...,30+ Days Ago,Interpersonal skills,Excel,Associate Data Analyst,Business reporting,Project engineering,Data Analyst,Analytics,Supervision
Data Analyst,SKF India,Not disclosed,Bengaluru,Create and maintain rich interactive visualizations through data interpretat...,30+ Days Ago,Data analysis,Excel,SAS,XML,Javascript,power bi,Data Analyst,data visualization
Data analysts,Mirafra,Not disclosed,Bengaluru,Mirafra Software Technologies Pvt Ltd is looking for Data analysts Conduct data analy...,30+ Days Ago,Data analysts,Data analysis,Analysts,Data,,,,
DATA ANALYST,Scaleup Mission,Not disclosed,Bengaluru,Scaleup Mission is looking for DATA ANALYST to join our dynamic team and embark on a re...,30+ Days Ago,Operations management,Operations Analyst,Data Analyst,HR,Business strategy,Management,Operations,Data
Staff Data Analyst - JioCinema,VIA,Not disclosed,"Mumbai, Bengaluru",Experience with big data platforms and tools (eg,30+ Days Ago,Telecom,Bfsi,Analytical,Consulting,Scheduling,Data mining,SQL,Business operations
"Python,Java, NoSQL,Data analyst",Tessolve Semiconductor Pvt. Ltd.,Not disclosed,Bengaluru,. Technical Skillset . required . 1) 1-year combined experience in the following progr...,30+ Days Ago,Wireless,C++,Product engineering,Backend,Front end,NoSQL,Data Analyst,Automotive
Data Analyst,Ipsos,Not disclosed,Bengaluru,Work closely with team members on design and execution of large-scale modeling effor...,30+ Days Ago,Linux,Neural networks,Pharma,Consulting,Machine learning,Market research,Healthcare,Oncology
