Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Lead Research Engineer - Machine Learning and AI,Siemens,Not disclosed,Bengaluru,. Post-graduate degree (PhD is preferred) in Applied Math / Engineering/Sciences with 1...,30+ Days Ago,C++,Medical imaging,Diagnostics,Machine learning,Healthcare,Research,biomedical,Operations
Senior Engineer - Machine Learning & Image Processing,Aliqan Services,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru","Experience with deep learning frameworks (e.g, Keras, Caffe). . - Knowledge of cloud pl...",13 Days Ago,Machine Learning,Tensorflow,Cloud Services,Image Processing,Version Control System,Data Analytics,Numpy,Deep Learning
Senior Machine Learning Engineer,Portcast,Not disclosed,Bengaluru,"Bachelor s, Master s, or PhD in Computer Science, Engineering, or a related fieldBuild,...",9 Days Ago,Computer science,Version control,Machine learning,Data processing,Forecasting,Monitoring,SQL,Python
Senior Machine Learning Engineer,Pubnative,Not disclosed,Bengaluru,. 5+ years experience working as a Data Scientist or ML Engineer in industry (preferabl...,14 Days Ago,Operations research,GCP,Machine learning,Genetics,German,Data mining,Forecasting,SQL
Senior Machine Learning Engineer,Quantiphi Analytics Solutions,Not disclosed,"Mumbai, Bengaluru, Thiruvananthapuram",3 to 6 years of proven experience as a Machine Learning Engineer or similar roleExperie...,10 Days Ago,Training,deep learning,Machine learning,Cloud,Debugging,Transformers,Open source,Troubleshooting
Machine Learning Engineer,Leading Client,Not disclosed,Bengaluru,Familiarity with additional forecasting Bachelors or Masters degree in Computer Science...,10 Days Ago,Machine Learning,data modeling,AI,data structures,Python,TensorFlow,Artificial Intelligence,Modeling
Machine Learning Research Engineer - Generative AI,"Advanced Micro Devices, Inc",Not disclosed,Bengaluru,Bachelor s. degree . candidates . will also be considered. . The ideal candidate will h...,30+ Days Ago,deep learning,Mahine learning,Open soure,Seletion proess,Debugging,Reruitment,Artifiial Intelligene,Continuous improvement
Machine Learning Engineer,Tether Operations,Not disclosed,Bengaluru,Experience with data and model visualization tools. . Proficient in managing unstructu...,14 Days Ago,Training,deep learning,Project management,Machine learning,Programming,Transformers,informatics,Statistics
Lead Machine Learning Engineer,Code and Theory,30-45 Lacs PA,Hybrid - Bengaluru,"Our work stretches from audience segmentation to dynamic content generation, from spell...",9 Days Ago,Hadoop,python,Cloud,ETL,Machine learning,Machine,,
Machine Learning Engineer,Paypal,Not disclosed,Bengaluru,Demonstrated record of building and deploying end-to-end ML solutions in a production e...,30+ Days Ago,Computer science,consumer marketing,Artificial Intelligence,Finance,Machine learning,Manager Technology,Commerce,big data
Machine Learning /AI Engineer- MSys Technologies!!!,MSys Technologies,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",Experience with building basic web applications for user interactionExperience with bui...,5 Days Ago,Data Science,NLP,Python Development,Machine Learning,Deep Learning,GenAI,langgraph,langchain
Machine Learning Intern - (Final Year),Cloudsek Information Security,Not disclosed,Bengaluru,Required skills along with knack to imagine new schemas that work for the given data. N...,30+ Days Ago,SIDE,cyber security,Neural networks,Risk assessment,Artificial Intelligence,Machine learning,Programming,Medical insurance
Senior Machine Learning Engineer,Plansource,Not disclosed,Hybrid - Bengaluru,Predictive Modelling and Analysis : Experience in machine learning and algorithm develo...,24 Days Ago,Machine Learning,Data Science,Gen AI,Artificial Intelligence,Natural Language Processing,Generative Artificial Intelligence,Deep Learning,Languages
Senior Machine Learning Engineer – AI/ML,Provenir,Not disclosed,Bengaluru,Builds & maintains machine learning and big data production pipelines to support adv...,30+ Days Ago,Machine learning,Data structures,Data quality,Troubleshooting,Open source,Distribution system,Monitoring,SQL
